Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.163025,40.264948,9.73,485943,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,302
-85.163022,40.264945,6.30,485944,1,0,15,17.5,Up,1,0,End Rows,1,Corn,2,3.2,304
-85.163013,40.264947,4.05,485945,1,0,15,17.3,Up,1,0,End Rows,1,Corn,2,3.2,303
-85.163005,40.264947,4.17,485946,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,303
-85.162993,40.264945,4.33,485947,1,0,15,17.7,Up,1,0,End Rows,1,Corn,2,3.2,303
-85.162983,40.264947,4.05,485948,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,303
-85.162970,40.264945,2.89,485949,1,0,15,17.6,Up,1,0,End Rows,1,Corn,2,3.2,303
-85.162955,40.264943,1.18,485950,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,303
-85.162937,40.264945,1.00,485951,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,303
-85.162920,40.264945,0.36,485952,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.7,303
-85.162903,40.264943,0.38,485953,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.7,302
-85.162883,40.264943,0.00,485954,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.7,302
-85.162863,40.264942,0.00,485955,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,302
-85.162843,40.264942,0.00,485956,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,302
-85.162823,40.264942,0.00,485957,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,302
-85.162802,40.264942,0.00,485958,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,302
