#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Mark ID,Yld Mass(Wet)(lb/ac),Moisture(%),Desc,Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,MarkID,YldMassWet,Moisture,Desc,Heading
-97.59133149,44.09575490,Stevens East,Stevens East-Corn,A,99,5.312,5.000,150.38,113,8473.6,15.53,10/12/2015 4:45:28 PM,0.344
-97.59131246,44.09575458,Stevens East,Stevens East-Corn,A,100,5.312,5.000,150.38,114,8473.6,15.53,10/12/2015 4:45:28 PM,0.344
-97.59129343,44.09575426,Stevens East,Stevens East-Corn,A,101,5.312,5.000,150.38,115,8473.6,15.53,10/12/2015 4:45:28 PM,0.344
-97.59127440,44.09575395,Stevens East,Stevens East-Corn,A,102,5.312,5.000,150.38,116,8473.6,15.53,10/12/2015 4:45:28 PM,0.344
-97.59136910,44.09577033,Stevens East,Stevens East-Corn,A,103,5.312,5.000,143.16,111,8066.8,15.53,10/12/2015 4:45:29 PM,0.704
-97.59135008,44.09576992,Stevens East,Stevens East-Corn,A,104,5.312,5.000,143.16,112,8066.8,15.53,10/12/2015 4:45:29 PM,0.704
-97.59133105,44.09576952,Stevens East,Stevens East-Corn,A,105,5.312,5.000,143.16,113,8066.8,15.53,10/12/2015 4:45:29 PM,0.704
-97.59131202,44.09576912,Stevens East,Stevens East-Corn,A,106,5.312,5.000,143.16,114,8066.8,15.53,10/12/2015 4:45:29 PM,0.704
-97.59129299,44.09576871,Stevens East,Stevens East-Corn,A,107,5.312,5.000,143.16,115,8066.8,15.53,10/12/2015 4:45:29 PM,0.704
-97.59127396,44.09576831,Stevens East,Stevens East-Corn,A,108,5.312,5.000,143.16,116,8066.8,15.53,10/12/2015 4:45:29 PM,0.704
-97.59136879,44.09578453,Stevens East,Stevens East-Corn,A,109,5.246,5.000,139.13,111,7839.8,15.53,10/12/2015 4:45:30 PM,0.464
-97.59134976,44.09578419,Stevens East,Stevens East-Corn,A,110,5.246,5.000,139.13,112,7839.8,15.53,10/12/2015 4:45:30 PM,0.464
-97.59133073,44.09578384,Stevens East,Stevens East-Corn,A,111,5.246,5.000,139.13,113,7839.8,15.53,10/12/2015 4:45:30 PM,0.464
-97.59131170,44.09578350,Stevens East,Stevens East-Corn,A,112,5.246,5.000,139.13,114,7839.8,15.53,10/12/2015 4:45:30 PM,0.464
-97.59129267,44.09578315,Stevens East,Stevens East-Corn,A,113,5.246,5.000,139.13,115,7839.8,15.53,10/12/2015 4:45:30 PM,0.464
-97.59127363,44.09578281,Stevens East,Stevens East-Corn,A,114,5.246,5.000,139.13,116,7839.8,15.53,10/12/2015 4:45:30 PM,0.464
-97.59136891,44.09579899,Stevens East,Stevens East-Corn,A,115,5.377,5.000,140.68,111,7927.2,15.53,10/12/2015 4:45:31 PM,0.014
-97.59134987,44.09579876,Stevens East,Stevens East-Corn,A,116,5.377,5.000,140.68,112,7927.2,15.53,10/12/2015 4:45:31 PM,0.014
-97.59133084,44.09579852,Stevens East,Stevens East-Corn,A,117,5.377,5.000,140.68,113,7927.2,15.53,10/12/2015 4:45:31 PM,0.014
-97.59131181,44.09579828,Stevens East,Stevens East-Corn,A,118,5.377,5.000,140.68,114,7927.2,15.53,10/12/2015 4:45:31 PM,0.014
-97.59129277,44.09579804,Stevens East,Stevens East-Corn,A,119,5.377,5.000,140.68,115,7927.2,15.53,10/12/2015 4:45:31 PM,0.014
-97.59127374,44.09579780,Stevens East,Stevens East-Corn,A,120,5.377,5.000,140.68,116,7927.2,15.53,10/12/2015 4:45:31 PM,0.014
-97.59136904,44.09581399,Stevens East,Stevens East-Corn,A,121,5.541,5.000,127.41,111,7179.5,15.53,10/12/2015 4:45:32 PM,359.62
-97.59135000,44.09581384,Stevens East,Stevens East-Corn,A,122,5.541,5.000,127.41,112,7179.5,15.53,10/12/2015 4:45:32 PM,359.62
-97.59133097,44.09581370,Stevens East,Stevens East-Corn,A,123,5.541,5.000,127.41,113,7179.5,15.53,10/12/2015 4:45:32 PM,359.62
-97.59131193,44.09581355,Stevens East,Stevens East-Corn,A,124,5.541,5.000,127.41,114,7179.5,15.53,10/12/2015 4:45:32 PM,359.62
-97.59129290,44.09581341,Stevens East,Stevens East-Corn,A,125,5.541,5.000,127.41,115,7179.5,15.53,10/12/2015 4:45:32 PM,359.62
-97.59127386,44.09581326,Stevens East,Stevens East-Corn,A,126,5.541,5.000,127.41,116,7179.5,15.53,10/12/2015 4:45:32 PM,359.62
-97.59136907,44.09582973,Stevens East,Stevens East-Corn,A,127,5.640,5.000,119.89,111,6755.8,15.53,10/12/2015 4:45:33 PM,0.102
-97.59135003,44.09582947,Stevens East,Stevens East-Corn,A,128,5.640,5.000,119.89,112,6755.8,15.53,10/12/2015 4:45:33 PM,0.102
-97.59133100,44.09582921,Stevens East,Stevens East-Corn,A,129,5.640,5.000,119.89,113,6755.8,15.53,10/12/2015 4:45:33 PM,0.102
-97.59131197,44.09582896,Stevens East,Stevens East-Corn,A,130,5.640,5.000,119.89,114,6755.8,15.53,10/12/2015 4:45:33 PM,0.102
-97.59129293,44.09582870,Stevens East,Stevens East-Corn,A,131,5.640,5.000,119.89,115,6755.8,15.53,10/12/2015 4:45:33 PM,0.102
-97.59127390,44.09582844,Stevens East,Stevens East-Corn,A,132,5.640,5.000,119.89,116,6755.8,15.53,10/12/2015 4:45:33 PM,0.102
-97.59136898,44.09584572,Stevens East,Stevens East-Corn,A,133,5.836,5.000,115.03,111,6482.0,15.53,10/12/2015 4:45:33 PM,0.082
-97.59134994,44.09584547,Stevens East,Stevens East-Corn,A,134,5.836,5.000,115.03,112,6482.0,15.53,10/12/2015 4:45:33 PM,0.082
-97.59133091,44.09584521,Stevens East,Stevens East-Corn,A,135,5.836,5.000,115.03,113,6482.0,15.53,10/12/2015 4:45:33 PM,0.082
-97.59131188,44.09584496,Stevens East,Stevens East-Corn,A,136,5.836,5.000,115.03,114,6482.0,15.53,10/12/2015 4:45:33 PM,0.082
-97.59129284,44.09584470,Stevens East,Stevens East-Corn,A,137,5.836,5.000,115.03,115,6482.0,15.53,10/12/2015 4:45:33 PM,0.082
-97.59127381,44.09584445,Stevens East,Stevens East-Corn,A,138,5.836,5.000,115.03,116,6482.0,15.53,10/12/2015 4:45:33 PM,0.082
-97.59136896,44.09586102,Stevens East,Stevens East-Corn,A,139,5.574,5.000,112.98,111,6366.5,15.53,10/12/2015 4:45:34 PM,0.022
-97.59134992,44.09586078,Stevens East,Stevens East-Corn,A,140,5.574,5.000,112.98,112,6366.5,15.53,10/12/2015 4:45:34 PM,0.022
-97.59133089,44.09586054,Stevens East,Stevens East-Corn,A,141,5.574,5.000,112.98,113,6366.5,15.53,10/12/2015 4:45:34 PM,0.022
-97.59131186,44.09586030,Stevens East,Stevens East-Corn,A,142,5.574,5.000,112.98,114,6366.5,15.53,10/12/2015 4:45:34 PM,0.022
-97.59129282,44.09586006,Stevens East,Stevens East-Corn,A,143,5.574,5.000,112.98,115,6366.5,15.53,10/12/2015 4:45:34 PM,0.022
-97.59127379,44.09585982,Stevens East,Stevens East-Corn,A,144,5.574,5.000,112.98,116,6366.5,15.53,10/12/2015 4:45:34 PM,0.022
-97.59136909,44.09587615,Stevens East,Stevens East-Corn,A,145,5.574,5.000,88.81,111,5004.4,15.53,10/12/2015 4:45:36 PM,359.74
-97.59135006,44.09587598,Stevens East,Stevens East-Corn,A,146,5.574,5.000,88.81,112,5004.4,15.53,10/12/2015 4:45:36 PM,359.74
-97.59133102,44.09587580,Stevens East,Stevens East-Corn,A,147,5.574,5.000,88.81,113,5004.4,15.53,10/12/2015 4:45:36 PM,359.74
-97.59131199,44.09587563,Stevens East,Stevens East-Corn,A,148,5.574,5.000,88.81,114,5004.4,15.53,10/12/2015 4:45:36 PM,359.74
-97.59129295,44.09587546,Stevens East,Stevens East-Corn,A,149,5.574,5.000,88.81,115,5004.4,15.53,10/12/2015 4:45:36 PM,359.74
-97.59127392,44.09587528,Stevens East,Stevens East-Corn,A,150,5.574,5.000,88.81,116,5004.4,15.53,10/12/2015 4:45:36 PM,359.74
-97.59136938,44.09589229,Stevens East,Stevens East-Corn,A,151,5.902,5.000,90.21,111,5083.5,15.53,10/12/2015 4:45:37 PM,359.65
-97.59135035,44.09589214,Stevens East,Stevens East-Corn,A,152,5.902,5.000,90.21,112,5083.5,15.53,10/12/2015 4:45:37 PM,359.65
-97.59133131,44.09589198,Stevens East,Stevens East-Corn,A,153,5.902,5.000,90.21,113,5083.5,15.53,10/12/2015 4:45:37 PM,359.65
-97.59131228,44.09589183,Stevens East,Stevens East-Corn,A,154,5.902,5.000,90.21,114,5083.5,15.53,10/12/2015 4:45:37 PM,359.65
-97.59129324,44.09589168,Stevens East,Stevens East-Corn,A,155,5.902,5.000,90.21,115,5083.5,15.53,10/12/2015 4:45:37 PM,359.65
-97.59127421,44.09589153,Stevens East,Stevens East-Corn,A,156,5.902,5.000,90.21,116,5083.5,15.53,10/12/2015 4:45:37 PM,359.65
-97.59136948,44.09590942,Stevens East,Stevens East-Corn,A,157,6.263,5.000,95.98,111,5408.6,15.53,10/12/2015 4:45:38 PM,359.52
-97.59135044,44.09590930,Stevens East,Stevens East-Corn,A,158,6.263,5.000,95.98,112,5408.6,15.53,10/12/2015 4:45:38 PM,359.52
-97.59133140,44.09590918,Stevens East,Stevens East-Corn,A,159,6.263,5.000,95.98,113,5408.6,15.53,10/12/2015 4:45:38 PM,359.52
-97.59131237,44.09590906,Stevens East,Stevens East-Corn,A,160,6.263,5.000,95.98,114,5408.6,15.53,10/12/2015 4:45:38 PM,359.52
