Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.165977,40.271478,11.20,134773,1,52,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,299
-85.165962,40.271480,11.42,134774,1,52,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,299
-85.165947,40.271478,10.58,134775,1,52,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,299
-85.165932,40.271480,10.54,134776,1,53,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,299
-85.165917,40.271478,10.51,134777,1,52,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,299
-85.165902,40.271478,10.85,134778,1,53,15,15.3,Down,1,0,End Rows,1,Corn,2,2.0,300
-85.165885,40.271478,10.38,134779,1,52,15,15.3,Down,1,0,End Rows,1,Corn,2,2.0,299
-85.165868,40.271480,10.07,134780,1,53,15,15.5,Down,1,0,End Rows,1,Corn,2,2.0,300
-85.165852,40.271482,8.26,134781,1,52,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165837,40.271482,9.01,134782,1,51,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165822,40.271480,10.60,134783,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165807,40.271482,10.32,134784,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165792,40.271482,11.40,134785,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165773,40.271482,10.73,134786,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165758,40.271482,11.93,134787,1,52,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165743,40.271482,11.86,134788,1,52,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165728,40.271482,11.17,134789,1,50,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165713,40.271483,12.12,134790,1,52,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165697,40.271483,13.06,134791,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165682,40.271483,12.91,134792,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165667,40.271482,12.32,134793,1,52,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165652,40.271483,12.66,134794,1,52,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165635,40.271483,13.18,134795,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165620,40.271482,14.68,134796,1,52,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165605,40.271482,12.85,134797,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165590,40.271482,12.70,134798,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
