#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Obj. Id,Yld Mass(Wet)(lb/ac),Moisture(%),Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,ObjId,YldMass,Moisture,Hding
-97.59129284,44.09584470,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,137,5.836,5.000,115.03,137,6482.0,15.53,0.082
-97.59127381,44.09584445,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,138,5.836,5.000,115.03,138,6482.0,15.53,0.082
-97.59136896,44.09586102,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,139,5.574,5.000,112.98,139,6366.5,15.53,0.022
-97.59134992,44.09586078,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,140,5.574,5.000,112.98,140,6366.5,15.53,0.022
-97.59133089,44.09586054,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,141,5.574,5.000,112.98,141,6366.5,15.53,0.022
-97.59131186,44.09586030,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,142,5.574,5.000,112.98,142,6366.5,15.53,0.022
-97.59129282,44.09586006,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,143,5.574,5.000,112.98,143,6366.5,15.53,0.022
-97.59127379,44.09585982,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,144,5.574,5.000,112.98,144,6366.5,15.53,0.022
-97.59136909,44.09587615,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,145,5.574,5.000,88.81,145,5004.4,15.53,359.74
-97.59135006,44.09587598,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,146,5.574,5.000,88.81,146,5004.4,15.53,359.74
-97.59133102,44.09587580,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,147,5.574,5.000,88.81,147,5004.4,15.53,359.74
-97.59131199,44.09587563,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,148,5.574,5.000,88.81,148,5004.4,15.53,359.74
-97.59129295,44.09587546,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,149,5.574,5.000,88.81,149,5004.4,15.53,359.74
-97.59127392,44.09587528,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,150,5.574,5.000,88.81,150,5004.4,15.53,359.74
