X,Y,fid,MEAN_X,MEAN_Y,Time,mean,Block,Sample,Balanced,Rectangle,Square
-97.5970105513603,44.0924478145676,"26660",-97.5970105513603,44.0924478145676,10/19/2019 8:37:16 PM,30.47842058,"0","0","0","0","0"
-97.6011190625122,44.0937542803504,"26661",-97.6011190625122,44.0937542803504,10/19/2019 5:12:37 PM,31.13756342,"0","0","0","0","0"
-97.5946969898979,44.0905698566472,"26662",-97.5946969898979,44.0905698566472,10/19/2019 10:42:36 PM,19.86287021,"4","4","0","0","1"
-97.595141044905,44.0924439926462,"26663",-97.595141044905,44.0924439926462,10/20/2019 12:37:21 AM,32.75860285,"4","1","0","1","1"
-97.6047215045131,44.0920534873501,"26664",-97.6047215045131,44.0920534873501,10/19/2019 5:42:36 PM,11.039446,"0","0","0","0","0"
-97.5997764079061,44.0931201236462,"26665",-97.5997764079061,44.0931201236462,10/19/2019 7:57:17 PM,41.80827575,"0","0","0","0","0"
-97.5999089595123,44.0930487993505,"26666",-97.5999089595123,44.0930487993505,10/19/2019 7:13:24 PM,16.15055383,"0","0","0","0","0"
-97.5991344139059,44.0948460766467,"26667",-97.5991344139059,44.0948460766467,10/19/2019 9:06:41 PM,38.957184,"0","0","0","0","0"
-97.5961622019054,44.0904745826459,"26668",-97.5961622019054,44.0904745826459,10/19/2019 10:24:57 PM,29.51131774,"2","1","0","0","1"
-97.5924188699036,44.0936287716527,"26669",-97.5924188699036,44.0936287716527,10/20/2019 12:48:37 AM,47.70254901,"0","0","0","0","0"
-97.5948884089055,44.0932500826464,"26670",-97.5948884089055,44.0932500826464,10/20/2019 12:56:53 AM,0,"4","3","1","1","1"
-97.5948623179044,44.0883810546516,"26671",-97.5948623179044,44.0883810546516,10/19/2019 9:43:27 PM,39.73643898,"0","0","0","0","0"
-97.5954657335043,44.0949672653519,"26672",-97.5954657335043,44.0949672653519,10/19/2019 5:01:24 PM,43.67368422,"0","0","0","0","0"
-97.5985361285135,44.0902654683499,"26673",-97.5985361285135,44.0902654683499,10/19/2019 7:09:15 PM,35.78513273,"0","0","0","0","0"
-97.5976132759058,44.0906198386458,"26674",-97.5976132759058,44.0906198386458,10/19/2019 9:28:56 PM,46.79436038,"0","0","0","0","0"
-97.5960696739054,44.0943800476468,"26675",-97.5960696739054,44.0943800476468,10/19/2019 10:30:11 PM,45.23437068,"2","2","0","0","0"
-97.5926544355797,44.0902687491188,"26676",-97.5926544355797,44.0902687491188,10/20/2019 2:35:58 AM,0,"0","0","0","0","0"
-97.5983884559058,44.0891835991454,"26677",-97.5983884559058,44.0891835991454,10/19/2019 8:02:24 PM,0,"0","0","0","0","0"
-97.592430800905,44.0911120116458,"26678",-97.592430800905,44.0911120116458,10/20/2019 2:27:41 AM,50.50780634,"9","2","0","0","0"
-97.5929238569052,44.0919971706461,"26679",-97.5929238569052,44.0919971706461,10/20/2019 2:18:02 AM,46.43860314,"8","2","0","1","1"
-97.5983845514057,44.0889735391453,"26680",-97.5983845514057,44.0889735391453,10/19/2019 8:02:36 PM,0,"0","0","0","0","0"
-97.5971045229054,44.0935265306466,"26681",-97.5971045229054,44.0935265306466,10/19/2019 11:28:18 PM,16.92788467,"0","0","0","0","0"
-97.592442810905,44.0922524416461,"26682",-97.592442810905,44.0922524416461,10/20/2019 2:26:08 AM,33.83093659,"9","2","0","0","0"
-97.6028187335123,44.0916635953564,"26683",-97.6028187335123,44.0916635953564,10/19/2019 6:16:17 PM,25.24672722,"0","0","0","0","0"
-97.5985351285124,44.0904688093499,"26684",-97.5985351285124,44.0904688093499,10/19/2019 7:09:27 PM,44.5660455,"0","0","0","0","0"
-97.5971554359143,44.091050148649,"26685",-97.5971554359143,44.091050148649,10/19/2019 9:15:52 PM,43.02664548,"0","0","0","0","0"
-97.5946698969019,44.0939013516526,"26686",-97.5946698969019,44.0939013516526,10/20/2019 12:39:08 AM,47.88451325,"0","0","0","0","0"
-97.59746679891,44.092299825652,"26687",-97.59746679891,44.092299825652,10/19/2019 8:43:36 PM,39.3825002,"0","0","0","0","0"
-97.5938301759051,44.0914816516462,"26688",-97.5938301759051,44.0914816516462,10/20/2019 1:46:09 AM,49.4178928,"6","3","0","0","1"
-97.5992570039057,44.0940447006465,"26689",-97.5992570039057,44.0940447006465,10/19/2019 8:59:19 PM,45.31626225,"0","0","0","0","0"
-97.5948593085164,44.0898304597179,"26690",-97.5948593085164,44.0898304597179,10/20/2019 1:38:31 AM,20.91541436,"4","3","0","0","0"
-97.5924312819052,44.0909306306458,"26691",-97.5924312819052,44.0909306306458,10/20/2019 2:27:53 AM,55.17605742,"9","2","0","0","0"
-97.5978862189054,44.0932444416464,"26692",-97.5978862189054,44.0932444416464,10/19/2019 11:46:53 PM,12.91202404,"0","0","0","0","0"
-97.5988458469055,44.0925927826463,"26693",-97.5988458469055,44.0925927826463,10/20/2019 12:02:41 AM,42.36370793,"0","0","0","0","0"
-97.596822519913,44.0914061606476,"26694",-97.596822519913,44.0914061606476,10/19/2019 9:15:27 PM,42.20320299,"0","0","0","0","0"
-97.6007198425126,44.0937992153505,"26695",-97.6007198425126,44.0937992153505,10/19/2019 6:31:36 PM,45.23623872,"0","0","0","0","0"
-97.603773794512,44.0918253513564,"26696",-97.603773794512,44.0918253513564,10/19/2019 6:10:11 PM,42.93751279,"0","0","0","0","0"
-97.6029753268369,44.0914793804124,"26697",-97.6029753268369,44.0914793804124,10/19/2019 6:22:47 PM,0,"0","0","0","0","0"
-97.5970678669058,44.0895324626456,"26698",-97.5970678669058,44.0895324626456,10/19/2019 9:59:48 PM,47.25956807,"0","0","0","0","0"
-97.5940882029054,44.091205916646,"26699",-97.5940882029054,44.091205916646,10/20/2019 1:29:02 AM,40.46835583,"6","1","0","0","1"
-97.5968114839046,44.0885853236517,"26700",-97.5968114839046,44.0885853236517,10/19/2019 9:50:34 PM,0,"0","0","0","0","0"
-97.6018867695122,44.0920595903564,"26701",-97.6018867695122,44.0920595903564,10/19/2019 6:05:53 PM,15.52125875,"0","0","0","0","0"
-97.5930589169054,44.0924854416462,"26702",-97.5930589169054,44.0924854416462,10/20/2019 2:15:16 AM,41.41653074,"8","1","0","1","1"
-97.6047286675114,44.0922467093502,"26703",-97.6047286675114,44.0922467093502,10/19/2019 5:42:48 PM,14.60243566,"0","0","0","0","0"
-97.5954051299053,44.0928717786462,"26704",-97.5954051299053,44.0928717786462,10/20/2019 12:30:40 AM,44.99913726,"3","3","1","1","1"
