"Silty clay loam"||"88612221"|"90162190"
"Clay loam"||"88612220"|"90162189"
"Silt loam"||"88612219"|"90162345"
"Loam"||"88612218"|"90162786"
"Silty clay loam"||"88612217"|"90162344"
"Silt loam"||"88612216"|"90162785"
"Loam"||"88612215"|"90162784"
"Clay loam"||"88612214"|"90162343"
"Silty clay loam"||"88612213"|"90162067"
"Clay loam"||"88612212"|"90162066"
"Clay"||"88612211"|"90162065"
"Silt loam"||"88612210"|"90162064"
"Clay"||"88612209"|"90162185"
"Clay loam"||"88612208"|"90162341"
"Clay loam"||"88612207"|"90162783"
"Loam"||"88612206"|"90162342"
"Loam"||"88612205"|"90162188"
"Loam"||"88612204"|"90162187"
"Clay loam"||"88612203"|"90162186"
"Clay loam"||"88612202"|"90162794"
"Loam"||"88612201"|"90162353"
"Loam"||"88612200"|"90162074"
"Loam"||"88612199"|"90162202"
"Clay loam"||"88612198"|"90162795"
"Loam"||"88612197"|"90162354"
"Loam"||"88612196"|"90162073"
"Clay loam"||"88612195"|"90162072"
"Clay loam"||"88611782"|"90162001"
"Loam"||"88611783"|"90162002"
"Silt loam"||"88611784"|"90162304"
"Clay"||"88611785"|"90162305"
"Clay loam"||"88611786"|"90162751"
"Silty clay loam"||"88611787"|"90162752"
"Silty clay"||"88611788"|"90162750"
"Clay loam"||"88611647"|"90161508"
"Loam"||"88611646"|"90161507"
"Clay loam"||"88611645"|"90161506"
"Loam"||"88611644"|"90161505"
"Clay loam"||"88611643"|"90162380"
"Loam"||"88611642"|"90161803"
"Loam"||"88611641"|"90162379"
"Clay loam"||"88611640"|"90162301"
"Loam"||"88611639"|"90162151"
"Clay loam"||"88611638"|"90161802"
"Loam"||"88611637"|"90162378"
"Clay loam"||"88611636"|"90161652"
"Loam"||"88611635"|"90161651"
"Clay loam"||"88611634"|"90161650"
"Loam"||"88611633"|"90162136"
"Silt loam"||"88611632"|"90162017"
"Clay loam"||"88611631"|"90162016"
"Loam"||"88611630"|"90162015"
"Silt loam"||"88611629"|"90162285"
"Clay loam"||"88611628"|"90162733"
"Loam"||"88611627"|"90162284"
"Clay loam"||"88611626"|"90162732"
"Loam"||"88611625"|"90162283"
"Clay"||"88611624"|"90161572"
"Silty clay"||"88611623"|"90161571"
"Clay loam"||"88611622"|"90161873"
