"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Nov"	"11"	0.90
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1993"	"1993"	"Dec"	"12"	0.14
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Jan"	"1"	0.17
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Feb"	"2"	0.27
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Mar"	"3"	1.07
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Apr"	"4"	0.30
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"May"	"5"	1.99
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Jun"	"6"	0.46
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Jul"	"7"	1.34
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Aug"	"8"	2.31
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Sep"	"9"	1.31
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Oct"	"10"	1.68
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Nov"	"11"	1.44
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1994"	"1994"	"Dec"	"12"	0.74
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Jan"	"1"	0.77
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Feb"	"2"	0.55
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Mar"	"3"	0.31
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Apr"	"4"	0.73
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"May"	"5"	0.32
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Jun"	"6"	0.28
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Jul"	"7"	0.74
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Aug"	"8"	1.58
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Sep"	"9"	1.73
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Oct"	"10"	0.01
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Nov"	"11"	0.09
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1995"	"1995"	"Dec"	"12"	0.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Jan"	"1"	0.30
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Feb"	"2"	0.27
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Mar"	"3"	0.11
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Apr"	"4"	0.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"May"	"5"	0.01
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Jun"	"6"	2.68
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Jul"	"7"	1.57
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Aug"	"8"	1.86
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Sep"	"9"	1.77
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Oct"	"10"	1.70
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Nov"	"11"	0.75
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1996"	"1996"	"Dec"	"12"	0.01
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Jan"	"1"	0.94
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Feb"	"2"	0.43
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Mar"	"3"	0.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Apr"	"4"	1.69
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"May"	"5"	0.79
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Jun"	"6"	1.33
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Jul"	"7"	2.78
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Aug"	"8"	1.91
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Sep"	"9"	2.05
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Oct"	"10"	0.41
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Nov"	"11"	1.06
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1997"	"1997"	"Dec"	"12"	1.50
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Jan"	"1"	0.15
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Feb"	"2"	0.91
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Mar"	"3"	2.36
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Apr"	"4"	0.67
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"May"	"5"	0.06
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Jun"	"6"	0.24
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Jul"	"7"	2.77
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Aug"	"8"	1.36
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Sep"	"9"	0.52
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Oct"	"10"	1.97
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Nov"	"11"	0.50
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1998"	"1998"	"Dec"	"12"	0.20
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Jan"	"1"	0.28
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Feb"	"2"	0.04
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Mar"	"3"	1.52
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Apr"	"4"	0.80
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"May"	"5"	0.75
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Jun"	"6"	0.85
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Jul"	"7"	1.74
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Aug"	"8"	3.30
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Sep"	"9"	0.91
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Oct"	"10"	0.34
