YEAR,LOCATION,PLOT,ROW,COLUMN,BLOCK,TREATMENT,ENTRY,VARIETY,P WT KG,MOISTURE(DJ),TW,PROTEIN,PRO MOIS,YIELD,YIELD135,TESTWT,PROTEIN12
2015,NORTHVILLE,352,4,27,3,4,3,Focus,2.2,12.0,60.2,14.8,12.9,54.7,55.7,60.2,15.0
2015,NORTHVILLE,353,5,27,3,4,2,Faller,2.4,11.6,58.6,14.4,13.3,60.3,61.6,58.6,14.6
2015,NORTHVILLE,354,6,27,3,4,1,Advance,1.9,11.5,59.1,14.8,12.6,46.9,48.0,59.1,14.9
2015,NORTHVILLE,355,7,27,3,4,11,SD4471,2.2,11.4,58.0,15.4,12.6,54.7,56.0,58.0,15.5
2015,NORTHVILLE,356,8,27,3,4,9,SD4393,2.5,11.7,58.9,15.9,12.9,62.5,63.8,58.9,16.1
2015,NORTHVILLE,357,8,28,3,4,8,SD4383,2.3,11.4,57.4,15.6,12.5,57.0,58.3,57.4,15.7
2015,NORTHVILLE,358,7,28,3,4,5,MS-Stingray,2.5,11.7,56.8,13.8,12.8,61.4,62.7,56.8,13.9
2015,NORTHVILLE,359,6,28,3,4,15,SY-Soren,2.0,11.5,56.6,16.0,13.7,49.1,50.3,56.6,16.3
2015,NORTHVILLE,360,5,28,3,4,12,Select,2.3,11.4,58.2,15.7,12.5,57.0,58.3,58.2,15.8
2015,NORTHVILLE,361,4,28,3,4,7,SD4299,2.1,11.7,57.4,15.5,13.1,51.4,52.4,57.4,15.7
2015,NORTHVILLE,362,3,28,3,4,14,SY-Rowyn,2.4,11.5,58.5,14.9,12.8,60.3,61.7,58.5,15.0
2015,NORTHVILLE,363,2,28,3,4,13,SY-Ingmar,2.4,12.0,58.0,15.7,12.9,59.2,60.2,58.0,15.9
2015,NORTHVILLE,364,1,28,3,4,6,Prevail,2.8,11.7,58.1,14.9,13.1,68.1,69.5,58.1,15.1
2015,NORTHVILLE,365,1,29,3,3,4,Forefront,2.0,11.6,58.9,14.7,12.9,49.1,50.2,58.9,14.9
2015,NORTHVILLE,366,2,29,3,3,11,SD4471,2.1,11.6,57.8,14.4,12.9,51.4,52.5,57.8,14.5
2015,NORTHVILLE,367,3,29,3,3,9,SD4393,2.1,11.6,57.9,15.2,12.8,52.5,53.6,57.9,15.3
2015,NORTHVILLE,368,4,29,3,3,10,SD4451,2.1,11.8,58.4,15.0,13.4,51.4,52.4,58.4,15.2
2015,NORTHVILLE,369,5,29,3,3,12,Select,2.1,11.5,58.7,15.5,12.6,51.4,52.6,58.7,15.6
2015,NORTHVILLE,370,6,29,3,3,3,Focus,2.3,11.7,58.7,15.2,12.5,55.8,57.0,58.7,15.3
2015,NORTHVILLE,371,7,29,3,3,5,MS-Stingray,.,11.9,57.0,13.6,12.9,.,.,57.0,13.7
2015,NORTHVILLE,372,8,29,3,3,15,SY-Soren,2.1,11.5,57.3,16.1,13.1,51.4,52.6,57.3,16.3
2015,NORTHVILLE,373,8,30,3,3,1,Advance,2.5,11.7,58.3,15.1,12.6,62.5,63.8,58.3,15.2
2015,NORTHVILLE,374,7,30,3,3,16,WB-Mayville,2.4,11.1,57.3,15.3,12.9,60.3,62.0,57.3,15.5
2015,NORTHVILLE,375,6,30,3,3,6,Prevail,2.7,11.5,58.1,14.1,13.0,65.9,67.4,58.1,14.3
2015,NORTHVILLE,376,5,30,3,3,8,SD4383,2.5,11.0,58.0,15.9,12.6,62.5,64.3,58.0,16.0
2015,NORTHVILLE,377,4,30,3,3,13,SY-Ingmar,2.5,11.7,58.3,15.5,13.2,61.4,62.7,58.3,15.7
2015,NORTHVILLE,378,3,30,3,3,7,SD4299,2.4,10.9,58.7,15.6,12.9,60.3,62.1,58.7,15.8
2015,NORTHVILLE,379,2,30,3,3,2,Faller,2.5,11.4,57.5,14.2,13.0,62.5,64.1,57.5,14.4
2015,NORTHVILLE,380,1,30,3,3,14,SY-Rowyn,2.5,11.5,57.9,14.4,12.9,61.4,62.8,57.9,14.5
2015,NORTHVILLE,401,1,31,4,3,1,Advance,2.4,11.6,59.5,14.4,12.9,58.1,59.3,59.5,14.5
2015,NORTHVILLE,402,2,31,4,3,16,WB-Mayville,2.2,11.4,57.1,14.2,13.0,54.7,56.0,57.1,14.4
2015,NORTHVILLE,403,3,31,4,3,14,SY-Rowyn,2.3,11.5,57.6,13.9,12.9,57.0,58.3,57.6,14.0
2015,NORTHVILLE,404,4,31,4,3,2,Faller,2.6,11.8,58.4,13.6,13.3,64.8,66.0,58.4,13.8
2015,NORTHVILLE,405,5,31,4,3,8,SD4383,2.4,11.2,57.4,15.6,12.5,59.2,60.8,57.4,15.7
2015,NORTHVILLE,406,6,31,4,3,11,SD4471,2.3,11.0,57.7,14.8,12.6,57.0,58.6,57.7,14.9
2015,NORTHVILLE,407,7,31,4,3,7,SD4299,.,11.5,57.6,15.7,13.0,.,.,57.6,15.9
2015,NORTHVILLE,408,8,31,4,3,9,SD4393,2.2,11.8,57.9,15.6,12.9,53.6,54.7,57.9,15.8
2015,NORTHVILLE,409,8,32,4,3,5,MS-Stingray,2.6,12.1,56.7,13.4,13.1,63.7,64.7,56.7,13.6
2015,NORTHVILLE,410,7,32,4,3,13,SY-Ingmar,2.4,11.8,57.9,15.6,12.9,59.2,60.4,57.9,15.8
2015,NORTHVILLE,411,6,32,4,3,4,Forefront,2.3,11.7,58.4,14.9,13.1,57.0,58.1,58.4,15.1
2015,NORTHVILLE,412,5,32,4,3,12,Select,2.5,11.9,59.8,15.1,12.6,61.4,62.6,59.8,15.2
2015,NORTHVILLE,413,4,32,4,3,15,SY-Soren,2.3,11.8,58.6,15.5,13.0,57.0,58.1,58.6,15.7
2015,NORTHVILLE,414,3,32,4,3,3,Focus,2.4,12.3,60.1,14.3,12.8,59.2,60.0,60.1,14.4
2015,NORTHVILLE,415,2,32,4,3,6,Prevail,2.4,11.6,58.3,14.6,13.0,60.3,61.6,58.3,14.8
2015,NORTHVILLE,416,1,32,4,3,10,SD4451,2.3,11.5,58.2,15.2,13.3,55.8,57.1,58.2,15.4
2015,NORTHVILLE,417,1,33,4,2,15,SY-Soren,1.9,12.0,56.8,15.2,13.1,46.9,47.7,56.8,15.4
2015,NORTHVILLE,418,2,33,4,2,1,Advance,2.2,11.5,58.4,14.2,12.7,54.7,56.0,58.4,14.3
2015,NORTHVILLE,419,3,33,4,2,10,SD4451,0.0,11.4,58.4,14.6,13.0,0.0,0.0,58.4,14.8
2015,NORTHVILLE,420,4,33,4,2,16,WB-Mayville,2.2,11.2,57.1,14.9,12.9,53.6,55.0,57.1,15.1
2015,NORTHVILLE,421,5,33,4,2,9,SD4393,2.2,11.2,56.4,15.8,12.6,54.7,56.2,56.4,15.9
2015,NORTHVILLE,422,6,33,4,2,4,Forefront,1.9,11.4,57.9,15.1,12.9,46.9,48.0,57.9,15.3
2015,NORTHVILLE,423,7,33,4,2,5,MS-Stingray,2.3,12.1,56.6,13.1,13.2,57.0,57.9,56.6,13.3
2015,NORTHVILLE,424,8,33,4,2,3,Focus,2.1,12.3,59.3,15.3,12.6,51.4,52.1,59.3,15.4
2015,NORTHVILLE,425,8,34,4,2,14,SY-Rowyn,2.3,11.4,58.1,14.6,12.8,57.0,58.3,58.1,14.7
2015,NORTHVILLE,426,7,34,4,2,11,SD4471,2.2,11.6,57.0,14.8,12.5,54.7,55.9,57.0,14.9
2015,NORTHVILLE,427,6,34,4,2,8,SD4383,1.9,11.4,56.4,14.8,12.5,45.8,46.9,56.4,14.9
2015,NORTHVILLE,428,5,34,4,2,6,Prevail,2.5,11.7,58.3,14.4,13.0,62.5,63.8,58.3,14.6
2015,NORTHVILLE,429,4,34,4,2,2,Faller,2.2,11.3,56.8,13.7,13.0,54.7,56.1,56.8,13.9
2015,NORTHVILLE,430,3,34,4,2,12,Select,2.1,11.4,57.7,14.4,12.3,52.5,53.8,57.7,14.4
2015,NORTHVILLE,431,2,34,4,2,13,SY-Ingmar,2.4,11.8,58.2,15.5,13.2,60.3,61.5,58.2,15.7
2015,NORTHVILLE,432,1,34,4,2,7,SD4299,2.2,11.2,57.2,14.8,13.0,54.7,56.2,57.2,15.0
2015,NORTHVILLE,433,1,35,4,1,12,Select,2.3,11.9,59.6,14.0,12.5,57.0,58.0,59.6,14.1
2015,NORTHVILLE,434,2,35,4,1,6,Prevail,2.2,11.5,58.0,14.6,13.0,53.6,54.8,58.0,14.8
2015,NORTHVILLE,435,3,35,4,1,1,Advance,2.2,11.7,58.7,14.2,12.8,54.7,55.9,58.7,14.3
2015,NORTHVILLE,436,4,35,4,1,4,Forefront,1.9,11.6,58.6,14.6,12.8,46.9,47.9,58.6,14.7
2015,NORTHVILLE,437,5,35,4,1,14,SY-Rowyn,2.1,11.6,58.0,14.4,12.9,52.5,53.6,58.0,14.5
2015,NORTHVILLE,438,6,35,4,1,5,MS-Stingray,2.3,12.1,57.1,12.3,12.8,57.0,57.9,57.1,12.4
2015,NORTHVILLE,439,7,35,4,1,15,SY-Soren,2.2,11.4,57.5,15.4,12.9,53.6,54.9,57.5,15.6
2015,NORTHVILLE,440,8,35,4,1,13,SY-Ingmar,2.5,12.0,58.0,15.5,13.1,62.5,63.6,58.0,15.7
2015,NORTHVILLE,441,8,36,4,1,7,SD4299,2.4,11.3,57.8,15.6,13.2,58.1,59.5,57.8,15.8
2015,NORTHVILLE,442,7,36,4,1,11,SD4471,2.3,11.7,57.8,15.1,12.2,57.0,58.1,57.8,15.1
2015,NORTHVILLE,443,6,36,4,1,2,Faller,2.5,11.0,56.9,14.4,13.5,61.4,63.2,56.9,14.6
2015,NORTHVILLE,444,5,36,4,1,10,SD4451,2.1,11.6,58.6,15.3,13.2,52.5,53.6,58.6,15.5
2015,NORTHVILLE,445,4,36,4,1,9,SD4393,2.2,11.5,56.8,14.9,12.6,53.6,54.8,56.8,15.0
2015,NORTHVILLE,446,3,36,4,1,8,SD4383,2.5,11.0,57.4,15.5,12.2,61.4,63.2,57.4,15.5
2015,NORTHVILLE,447,2,36,4,1,16,WB-Mayville,2.1,11.2,56.3,14.1,12.7,52.5,53.9,56.3,14.2
2015,NORTHVILLE,448,1,36,4,1,3,Focus,2.3,12.3,60.0,14.8,12.9,57.0,57.7,60.0,15.0
2015,NORTHVILLE,449,1,37,4,5,7,SD4299,2.4,11.7,57.6,15.5,13.2,59.2,60.4,57.6,15.7
2015,NORTHVILLE,450,2,37,4,5,12,Select,1.9,11.1,54.3,14.9,12.4,46.9,48.2,54.3,15.0
2015,NORTHVILLE,451,3,37,4,5,8,SD4383,2.1,11.2,57.0,14.7,12.5,52.5,53.9,57.0,14.8
2015,NORTHVILLE,452,4,37,4,5,9,SD4393,2.3,11.4,57.2,14.8,12.6,55.8,57.2,57.2,14.9
2015,NORTHVILLE,453,5,37,4,5,1,Advance,2.3,11.8,58.1,14.5,12.9,55.8,56.9,58.1,14.6
2015,NORTHVILLE,454,6,37,4,5,5,MS-Stingray,2.5,11.9,57.0,13.5,13.0,61.4,62.6,57.0,13.7
2015,NORTHVILLE,455,7,37,4,5,3,Focus,2.2,11.9,59.0,14.9,12.8,53.6,54.6,59.0,15.0
2015,NORTHVILLE,456,8,37,4,5,16,WB-Mayville,.,11.4,57.2,15.1,13.0,.,.,57.2,15.3
2015,NORTHVILLE,457,8,38,4,5,6,Prevail,2.4,11.8,58.0,15.0,13.0,60.3,61.5,58.0,15.2
2015,NORTHVILLE,458,7,38,4,5,13,SY-Ingmar,2.5,11.7,57.9,15.7,13.3,61.4,62.7,57.9,15.9
2015,NORTHVILLE,459,6,38,4,5,10,SD4451,2.1,11.5,58.0,15.2,13.2,51.4,52.6,58.0,15.4
2015,NORTHVILLE,460,5,38,4,5,11,SD4471,2.4,11.3,57.4,15.1,12.8,58.1,59.5,57.4,15.2
2015,NORTHVILLE,461,4,38,4,5,4,Forefront,2.1,11.5,58.5,14.7,13.1,51.4,52.6,58.5,14.9
2015,NORTHVILLE,462,3,38,4,5,14,SY-Rowyn,2.4,11.4,58.3,14.3,13.0,60.3,61.8,58.3,14.5
2015,NORTHVILLE,463,2,38,4,5,15,SY-Soren,2.3,11.4,57.5,15.3,13.0,55.8,57.2,57.5,15.5
2015,NORTHVILLE,464,1,38,4,5,2,Faller,2.6,11.6,58.0,14.6,13.2,64.8,66.2,58.0,14.8
2015,NORTHVILLE,465,1,39,4,4,5,MS-Stingray,2.4,11.7,55.8,13.8,12.6,60.3,61.6,55.8,13.9
2015,NORTHVILLE,466,2,39,4,4,7,SD4299,2.3,11.3,57.6,14.7,13.0,55.8,57.3,57.6,14.9
2015,NORTHVILLE,467,3,39,4,4,11,SD4471,2.4,11.2,57.4,14.8,12.7,58.1,59.6,57.4,14.9
2015,NORTHVILLE,468,4,39,4,4,6,Prevail,.,11.6,57.2,14.1,13.8,.,.,57.2,14.4
2015,NORTHVILLE,469,5,39,4,4,9,SD4393,2.4,11.4,58.6,15.1,12.6,58.1,59.5,58.6,15.2
2015,NORTHVILLE,470,6,39,4,4,13,SY-Ingmar,2.5,11.8,57.4,15.1,13.3,62.5,63.8,57.4,15.3
2015,NORTHVILLE,471,7,39,4,4,10,SD4451,2.0,11.8,58.4,15.8,13.1,50.3,51.2,58.4,16.0
2015,NORTHVILLE,472,8,39,4,4,4,Forefront,.,12.0,57.6,15.8,13.0,.,.,57.6,16.0
2015,NORTHVILLE,473,8,40,4,4,8,SD4383,2.8,11.4,57.3,16.0,12.6,69.2,70.9,57.3,16.1
2015,NORTHVILLE,474,7,40,4,4,12,Select,2.3,11.6,57.4,15.1,12.9,57.0,58.2,57.4,15.3
2015,NORTHVILLE,475,6,40,4,4,2,Faller,2.9,11.3,58.3,14.5,13.3,71.5,73.3,58.3,14.7
2015,NORTHVILLE,476,5,40,4,4,14,SY-Rowyn,2.2,11.5,58.1,14.8,12.8,53.6,54.8,58.1,14.9
2015,NORTHVILLE,477,4,40,4,4,1,Advance,2.5,12.0,58.1,14.2,12.8,62.5,63.6,58.1,14.3
2015,NORTHVILLE,478,3,40,4,4,15,SY-Soren,.,11.4,57.0,15.5,13.0,.,.,57.0,15.7
2015,NORTHVILLE,479,2,40,4,4,3,Focus,2.4,11.8,59.5,15.1,12.8,59.2,60.4,59.5,15.2
2015,NORTHVILLE,480,1,40,4,4,16,WB-Mayville,2.7,11.4,56.2,16.3,12.9,67.0,68.6,56.2,16.5
